ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,-46.24,-0.81,Animal 2_6HRS_034,8.34,210.21,199.66,16.97,64.64,102.4,96.43,31.48
111.0,111.0,19.14,0.33,Animal 2_6HRS_034,0.33,67.43,190.75,2.15,177.07,102.02,91.08,55.51
111.0,111.0,-22.33,-0.39,Animal 2_6HRS_034,41.52,142.44,167.21,54.58,174.9,116.82,104.84,53.2
111.0,111.0,-96.75,-1.69,Animal 2_6HRS_035,15.44,206.11,99.14,55.59,119.07,110.26,110.49,56.58
111.0,111.0,-42.49,-0.74,Animal 2_6HRS_035,48.99,138.37,164.53,89.97,4.84,90.25,112.0,22.92
111.0,111.0,12.42,0.22,Animal 2_6HRS_035,23.88,110.5,193.19,27.22,190.46,128.03,113.59,62.76
111.0,111.0,39.03,0.68,Animal 2_6HRS_036,0.13,64.91,194.64,1.02,107.5,126.53,118.62,68.27
111.0,111.0,37.07,0.65,Animal 2_6HRS_036,0.52,19.64,217.22,2.82,206.76,91.8,121.73,67.69
111.0,111.0,-29.34,-0.51,Animal 2_6HRS_037,67.63,173.41,175.36,98.41,181.34,131.86,101.45,59.06
111.0,111.0,11.28,0.2,Animal 2_6HRS_037,65.25,78.36,178.55,138.07,93.76,94.9,95.61,41.88
111.0,111.0,-13.54,-0.24,Animal 2_6HRS_037,41.23,126.04,181.58,73.08,126.39,108.03,106.81,44.2
111.0,111.0,15.62,0.27,Animal 2_6HRS_039,47.01,105.42,167.52,64.51,113.08,123.84,101.62,42.0
111.0,111.0,18.54,0.32,Animal 2_6HRS_039,35.33,81.38,186.97,35.65,164.11,108.93,104.81,53.25
111.0,111.0,-13.29,-0.23,Animal 2_6HRS_040,65.28,124.17,192.24,56.7,217.93,104.08,107.17,90.08
111.0,111.0,34.79,0.61,Animal 2_6HRS_040,48.08,55.27,176.42,68.15,179.5,96.07,117.7,59.4
111.0,111.0,-25.34,-0.44,Animal 2_6HRS_040,44.08,140.92,173.61,52.17,135.22,112.33,113.24,74.36
111.0,111.0,-4.32,-0.08,Animal 2_6HRS_048,17.53,105.24,190.03,54.0,82.3,99.53,114.42,38.63
111.0,111.0,-150.02,-2.62,Animal 2_6HRS_048,34.72,143.93,57.39,99.01,129.42,117.6,103.03,48.17
111.0,111.0,29.94,0.52,Animal 2_6HRS_048,72.98,53.31,133.32,192.21,225.54,76.39,93.24,64.12
111.0,111.0,28.54,0.5,Animal 2_6HRS_049,68.05,85.66,181.73,69.8,229.64,127.76,104.32,64.32
111.0,111.0,37.43,0.65,Animal 2_6HRS_049,34.72,67.38,162.37,75.71,123.6,104.75,113.53,46.74
111.0,111.0,25.74,0.45,Animal 2_6HRS_051,56.0,35.91,188.87,73.11,42.66,79.44,98.59,35.81
