ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,18.6,0.32,Animal 1_2hrs_037,44.45,86.32,167.55,65.06,122.75,107.39,104.95,43.06
111.0,111.0,-33.41,-0.58,Animal 1_2hrs_037,27.88,158.19,175.42,49.11,85.23,115.31,110.4,36.99
111.0,111.0,17.34,0.3,Animal 1_2hrs_037,0.14,81.5,219.0,1.08,108.04,116.96,105.42,53.32
111.0,111.0,21.51,0.38,Animal 1_2hrs_037,1.24,81.39,215.48,5.11,68.02,115.75,128.3,44.7
111.0,111.0,39.96,0.7,Animal 1_2hrs_038,105.14,68.27,174.69,100.49,105.59,105.11,130.72,43.58
111.0,111.0,-3.27,-0.06,Animal 1_2hrs_038,25.42,113.91,174.8,33.54,96.65,110.05,107.34,39.87
111.0,111.0,22.28,0.39,Animal 1_2hrs_038,0.44,70.42,217.97,2.37,198.44,107.64,127.15,62.86
111.0,111.0,-87.95,-1.54,Animal 1_2hrs_038,44.36,180.92,90.87,61.39,135.52,117.56,88.6,58.12
111.0,111.0,-91.17,-1.59,Animal 1_2hrs_038,118.25,129.16,120.49,99.25,216.36,80.71,121.48,68.97
111.0,111.0,-58.79,-1.03,Animal 1_2hrs_038,3.23,217.07,166.46,8.67,95.43,108.04,100.39,66.08
111.0,111.0,16.56,0.29,Animal 1_2hrs_038,64.08,63.22,173.63,111.86,139.0,86.18,96.44,74.29
111.0,111.0,16.4,0.29,Animal 1_2hrs_040,17.93,84.72,198.77,33.34,177.93,107.13,122.59,60.83
111.0,111.0,35.49,0.62,Animal 1_2hrs_040,15.48,60.39,174.49,38.32,203.01,108.61,106.86,68.07
111.0,111.0,41.92,0.73,Animal 1_2hrs_040,48.66,48.02,192.71,59.34,107.65,118.12,114.63,66.64
111.0,111.0,-3.55,-0.06,Animal 1_2hrs_040,47.73,100.86,191.12,75.95,155.85,96.51,120.95,55.95
111.0,111.0,-10.17,-0.18,Animal 1_2hrs_040,48.73,115.51,188.37,64.21,122.16,102.52,115.97,58.72
82.0,111.0,32.71,0.57,Animal 1_2hrs_040,46.08,67.82,163.51,57.58,116.73,103.17,108.47,43.8
90.0,111.0,23.09,0.4,Animal 1_2hrs_041,27.49,31.42,160.69,35.86,113.0,58.11,98.06,43.73
111.0,111.0,21.57,0.38,Animal 1_2hrs_041,19.06,68.43,205.02,33.35,181.54,104.19,114.56,74.11
111.0,111.0,-22.9,-0.4,Animal 1_2hrs_041,30.86,146.24,192.83,52.44,53.9,104.78,94.67,34.62
111.0,111.0,-42.91,-0.75,Animal 1_2hrs_041,12.55,143.43,172.74,18.22,68.19,86.37,111.36,35.33
111.0,111.0,-27.83,-0.49,Animal 1_2hrs_041,48.0,136.1,165.76,60.79,103.02,96.84,91.39,40.15
111.0,111.0,-16.69,-0.29,Animal 1_2hrs_041,11.19,118.46,204.24,24.54,239.75,82.8,85.28,113.51
93.0,111.0,-7.89,-0.14,Animal 1_2hrs_042,10.49,74.05,201.05,25.22,190.36,59.02,92.55,95.71
111.0,111.0,-15.94,-0.28,Animal 1_2hrs_042,0.41,131.63,160.69,1.69,105.22,113.37,96.76,51.14
111.0,111.0,45.83,0.8,Animal 1_2hrs_042,43.88,63.33,150.58,70.55,93.69,128.53,87.25,53.15
111.0,111.0,-53.65,-0.94,Animal 1_2hrs_042,43.18,176.64,159.9,47.34,179.33,100.19,103.63,77.01
111.0,111.0,1.94,0.03,Animal 1_2hrs_042,26.43,102.43,161.09,36.58,103.28,104.71,93.79,43.79
111.0,111.0,-2.5,-0.04,Animal 1_2hrs_043,65.06,97.57,198.41,94.66,266.72,94.06,118.2,103.26
111.0,111.0,-41.6,-0.73,Animal 1_2hrs_043,80.09,153.73,163.36,132.34,197.02,102.95,106.18,64.68
111.0,111.0,-49.53,-0.86,Animal 1_2hrs_043,50.25,192.66,145.3,65.62,4.74,119.12,82.56,22.61
111.0,111.0,-1.5,-0.03,Animal 1_2hrs_044,3.48,130.1,194.63,14.89,235.54,128.14,119.43,90.52
111.0,111.0,1.07,0.02,Animal 1_2hrs_044,26.42,101.28,188.56,63.42,118.37,102.6,118.08,44.58
111.0,111.0,84.42,1.47,Animal 1_2hrs_044,37.78,35.97,148.62,96.2,59.5,127.94,139.63,33.69
111.0,111.0,-20.69,-0.36,Animal 1_2hrs_044,29.86,138.68,187.51,41.87,120.15,109.18,109.4,45.43
111.0,111.0,-30.09,-0.53,Animal 1_2hrs_045,28.94,154.52,175.39,42.73,120.3,112.77,103.35,43.18
111.0,111.0,-30.36,-0.53,Animal 1_2hrs_045,42.5,143.8,162.12,60.52,122.48,110.34,105.01,48.85
111.0,111.0,70.81,1.24,Animal 1_2hrs_045,29.79,29.78,152.33,34.51,85.08,140.67,113.74,47.29
111.0,111.0,6.56,0.11,Animal 1_2hrs_045,24.55,91.79,189.91,54.03,112.57,101.5,105.43,46.86
90.0,111.0,-19.86,-0.35,Animal 1_2hrs_045,32.75,119.56,163.09,74.89,116.7,100.83,111.22,47.05
111.0,111.0,12.25,0.21,Animal 1_2hrs_046,22.91,96.93,200.85,41.62,113.32,114.27,120.99,44.98
111.0,111.0,-18.75,-0.33,Animal 1_2hrs_046,35.45,112.12,159.19,83.02,117.08,94.68,107.82,47.46
111.0,111.0,-36.38,-0.63,Animal 1_2hrs_046,35.59,139.24,160.95,49.15,95.34,98.6,105.78,39.21
111.0,111.0,-37.9,-0.66,Animal 1_2hrs_046,54.86,149.43,161.17,85.58,97.9,101.15,99.14,40.37
